,t_out,Energy_2,Energy_4,Energy_3,temperature:drybulb,Equip,Energy_5,Energy_1,light,occ
3017,28.3,5602.683,5550.5527,3555.4697,21.997501,0.4377068,3647.0505,0.0,0.07140652,0.049438532
3018,28.116667,5505.7104,5455.728,3496.5408,21.997452,0.4377068,3589.531,0.0,0.03570326,0.049438532
3019,27.933332,5494.6836,5448.3174,3487.8694,21.997509,0.4377068,3581.779,0.0,0.03570326,0.049438532
3020,27.75,5463.655,5420.899,3466.1074,21.997545,0.4377068,3561.2732,0.0,0.03570326,0.049438532
3021,27.566668,5416.8525,5377.594,3434.422,21.997591,0.4377068,3531.0237,0.0,0.03570326,0.049438532
3022,27.383333,5359.544,5323.6064,3396.367,21.997644,0.4377068,3494.2852,0.0,0.03570326,0.049438532
3023,27.2,5295.343,5260.071,3354.261,21.997704,0.4377068,3453.225,0.0,0.03570326,0.049438532
3024,27.2,5264.42,5226.538,3332.336,21.997753,0.4377068,3431.2854,0.0,0.03570326,0.0
3025,27.2,5254.6704,5216.49,3324.7192,21.997784,0.4377068,3423.381,0.0,0.03570326,0.0
3026,27.2,5245.8604,5207.6445,3318.1562,21.997795,0.4377068,3416.5322,0.0,0.03570326,0.0
3027,27.2,5237.8545,5199.6445,3312.3442,21.997803,0.4377068,3410.3433,0.0,0.03570326,0.0
3028,27.2,5230.307,5192.1187,3306.961,21.997808,0.4377068,3404.5305,0.0,0.03570326,0.0
3029,27.2,5222.998,5184.8296,3301.8076,21.997814,0.4377068,3398.9263,0.0,0.03570326,0.0
3030,27.2,5223.201,5184.258,3300.865,21.997818,0.4377068,3397.3616,0.0,0.03570326,0.0
3031,27.2,5228.26,5188.3306,3303.164,21.997816,0.4377068,3399.0295,0.0,0.03570326,0.0
3032,27.2,5239.074,5198.0947,3309.3442,21.997805,0.4377068,3404.5696,0.0,0.03570326,0.0
3033,27.2,5254.4756,5212.4272,3318.5674,21.997787,0.4377068,3413.133,0.0,0.03570326,0.0
3034,27.2,5272.9526,5229.81,3329.764,21.997766,0.4377068,3423.677,0.0,0.03570326,0.0
3035,27.2,5293.6562,5249.4126,3342.3606,21.997747,0.4377068,3435.6648,0.0,0.03570326,0.0
